review,rating,date
The app has become simply unusable. More adds apere than actual pins! Half of the time i have to decipher if it is a post i can save or a publicity. Disappointed.,2,2026-03-10 01:22:06
love it but it won't let me crop out pictures anymore,5,2026-03-10 01:10:19
Have absolutely everything you ever want on Pinterest!! Love it all!@,5,2026-03-10 00:55:35
Hate to see an app like this ruined both with AI slop that the filter doesn't properly work on and improper management that caused many accounts to be banned for no reason. I'll be deleting my account and uninstalling ASAP.,1,2026-03-10 00:33:37
I hate your stupid age verification now i cant join because how bad it is,2,2026-03-10 00:28:35
any time i download the app it says put your date off birth I will put it it will say u can not open this account,1,2026-03-10 00:22:22
"very good posting,like quilting,knitting,crochet items.",5,2026-03-09 23:38:37
optional,3,2026-03-09 23:32:44
I hate the current Pinterest. It's more on ads than actual content. You better change this app into an ad app instead,2,2026-03-09 23:20:57
"everytime I load the app, it ""safety locks"" my account!!",1,2026-03-09 23:19:13
love it,5,2026-03-09 23:07:49
too useful,5,2026-03-09 23:01:37
"I love almost everything about this app..except for creators who post AI images to get people to click, then the actual pattern or tutorial is for something totally different!",4,2026-03-09 23:00:08
So amazing,5,2026-03-09 22:53:04
♥️♥️♥️,5,2026-03-09 22:27:13
Just discovered I can save favorite recipes on it. Great!,4,2026-03-09 22:24:26
حلو جدا كجدا احلي برنامج,5,2026-03-09 22:07:00
It is amazing.,5,2026-03-09 21:57:33
"pintrest has alot of images i found interesting or vidios but i hope that pintrest will soon add a ""download vidio"" to share it to my friends",5,2026-03-09 21:52:13
"l play game l won ,lmade lot of things",5,2026-03-09 21:51:22
very much fun and satisfied,5,2026-03-09 21:36:07
Good,5,2026-03-09 21:32:32
حلو لكن يوم ترسلون اشعارات قولوا انه يناسب ذوقك ليس زوقك صحيحوا الاملاء ☺️,5,2026-03-09 21:26:58
"“Pinterest is great for finding creative ideas, inspiration, and beautiful images. I always discover new designs, recipes, and projects here.”",5,2026-03-09 21:06:19
I enjoy the game.,4,2026-03-09 20:49:22
best 👌,5,2026-03-09 20:44:10
I can't see who posted anything!,4,2026-03-09 20:30:46
"some of the images won't show up or either take a long time to load, while browsing it on chrome works perfectly fine.",3,2026-03-09 20:30:11
its an amazing app it gives me exactly what I want,5,2026-03-09 20:20:36
This Application's Awesome,5,2026-03-09 20:20:29
loveeeee,5,2026-03-09 20:09:28
ᥬ🥹ᩤ very nice app,5,2026-03-09 20:09:05
