review,rating,date,clean_review,polarity,sentiment
The app has become simply unusable. More adds apere than actual pins! Half of the time i have to decipher if it is a post i can save or a publicity. Disappointed.,2,2026-03-10 01:22:06,the app has become simply unusable more adds apere than actual pins half of the time i have to decipher if it is a post i can save or a publicity disappointed,-0.08333333333333333,Negative
love it but it won't let me crop out pictures anymore,5,2026-03-10 01:10:19,love it but it wont let me crop out pictures anymore,0.5,Positive
Have absolutely everything you ever want on Pinterest!! Love it all!@,5,2026-03-10 00:55:35,have absolutely everything you ever want on pinterest love it all,0.35,Positive
Hate to see an app like this ruined both with AI slop that the filter doesn't properly work on and improper management that caused many accounts to be banned for no reason. I'll be deleting my account and uninstalling ASAP.,1,2026-03-10 00:33:37,hate to see an app like this ruined both with ai slop that the filter doesnt properly work on and improper management that caused many accounts to be banned for no reason ill be deleting my account and uninstalling asap,-0.2,Negative
I hate your stupid age verification now i cant join because how bad it is,2,2026-03-10 00:28:35,i hate your stupid age verification now i cant join because how bad it is,-0.7666666666666666,Negative
any time i download the app it says put your date off birth I will put it it will say u can not open this account,1,2026-03-10 00:22:22,any time i download the app it says put your date off birth i will put it it will say u can not open this account,0.0,Neutral
"very good posting,like quilting,knitting,crochet items.",5,2026-03-09 23:38:37,very good postinglike quiltingknittingcrochet items,0.9099999999999999,Positive
optional,3,2026-03-09 23:32:44,optional,0.0,Neutral
I hate the current Pinterest. It's more on ads than actual content. You better change this app into an ad app instead,2,2026-03-09 23:20:57,i hate the current pinterest its more on ads than actual content you better change this app into an ad app instead,0.039999999999999994,Positive
"everytime I load the app, it ""safety locks"" my account!!",1,2026-03-09 23:19:13,everytime i load the app it safety locks my account,0.0,Neutral
love it,5,2026-03-09 23:07:49,love it,0.5,Positive
too useful,5,2026-03-09 23:01:37,too useful,0.3,Positive
"I love almost everything about this app..except for creators who post AI images to get people to click, then the actual pattern or tutorial is for something totally different!",4,2026-03-09 23:00:08,i love almost everything about this appexcept for creators who post ai images to get people to click then the actual pattern or tutorial is for something totally different,0.16666666666666666,Positive
So amazing,5,2026-03-09 22:53:04,so amazing,0.6000000000000001,Positive
♥️♥️♥️,5,2026-03-09 22:27:13,,0.0,Neutral
Just discovered I can save favorite recipes on it. Great!,4,2026-03-09 22:24:26,just discovered i can save favorite recipes on it great,0.65,Positive
حلو جدا كجدا احلي برنامج,5,2026-03-09 22:07:00, ,0.0,Neutral
It is amazing.,5,2026-03-09 21:57:33,it is amazing,0.6000000000000001,Positive
"pintrest has alot of images i found interesting or vidios but i hope that pintrest will soon add a ""download vidio"" to share it to my friends",5,2026-03-09 21:52:13,pintrest has alot of images i found interesting or vidios but i hope that pintrest will soon add a download vidio to share it to my friends,0.5,Positive
"l play game l won ,lmade lot of things",5,2026-03-09 21:51:22,l play game l won lmade lot of things,-0.4,Negative
very much fun and satisfied,5,2026-03-09 21:36:07,very much fun and satisfied,0.4,Positive
Good,5,2026-03-09 21:32:32,good,0.7,Positive
حلو لكن يوم ترسلون اشعارات قولوا انه يناسب ذوقك ليس زوقك صحيحوا الاملاء ☺️,5,2026-03-09 21:26:58, ,0.0,Neutral
"“Pinterest is great for finding creative ideas, inspiration, and beautiful images. I always discover new designs, recipes, and projects here.”",5,2026-03-09 21:06:19,pinterest is great for finding creative ideas inspiration and beautiful images i always discover new designs recipes and projects here,0.571590909090909,Positive
I enjoy the game.,4,2026-03-09 20:49:22,i enjoy the game,0.0,Neutral
best 👌,5,2026-03-09 20:44:10,best ,1.0,Positive
I can't see who posted anything!,4,2026-03-09 20:30:46,i cant see who posted anything,0.0,Neutral
"some of the images won't show up or either take a long time to load, while browsing it on chrome works perfectly fine.",3,2026-03-09 20:30:11,some of the images wont show up or either take a long time to load while browsing it on chrome works perfectly fine,0.18333333333333335,Positive
its an amazing app it gives me exactly what I want,5,2026-03-09 20:20:36,its an amazing app it gives me exactly what i want,0.42500000000000004,Positive
This Application's Awesome,5,2026-03-09 20:20:29,this applications awesome,1.0,Positive
loveeeee,5,2026-03-09 20:09:28,loveeeee,0.0,Neutral
ᥬ🥹ᩤ very nice app,5,2026-03-09 20:09:05, very nice app,0.78,Positive
"Basically unusable with the AI content moderation. I have had so many pins flagged for ""self harm"" or ""adult content"" when almost all of my pins are of sfw artwork, home inspiration, cosmetics, and poetry. Pins that I have only saved, not posted myself. I have never saved anything inappropriate on Pinterest and yet I keep getting more and more frequent emails that my saved pins are getting taken down and they threaten to ban my account.",1,2026-03-09 20:06:06,basically unusable with the ai content moderation i have had so many pins flagged for self harm or adult content when almost all of my pins are of sfw artwork home inspiration cosmetics and poetry pins that i have only saved not posted myself i have never saved anything inappropriate on pinterest and yet i keep getting more and more frequent emails that my saved pins are getting taken down and they threaten to ban my account,0.22063492063492068,Positive
great app no flaws found yet,5,2026-03-09 20:00:38,great app no flaws found yet,0.8,Positive
good,4,2026-03-09 19:38:27,good,0.7,Positive
"who decided it was necessary to enter a birth date, and only enable that via a calendar that requires clicking back through dates? I'm 73 years old, and my tapping fingers wear out long before I reach my birthdate. I've been using/enjoying Pinterest since it's Day One. Pity I can't enjoy it going forward.",2,2026-03-09 19:37:08,who decided it was necessary to enter a birth date and only enable that via a calendar that requires clicking back through dates im years old and my tapping fingers wear out long before i reach my birthdate ive been usingenjoying pinterest since its day one pity i cant enjoy it going forward,0.05,Positive
It doesn't give straight forward answer and it is quite annoying 😕😕☹️☹️😞😞😤😤😤😤😤😡😡😡.,1,2026-03-09 19:35:58,it doesnt give straight forward answer and it is quite annoying ,-0.30000000000000004,Negative
"everything is low resolution, just serching immages in the browser give much better results... Also if im looking at spaceships why oh whyyy do you throw in a random picture explaning how to use camel toe hiders or whatever that was!",2,2026-03-09 19:29:32,everything is low resolution just serching immages in the browser give much better results also if im looking at spaceships why oh whyyy do you throw in a random picture explaning how to use camel toe hiders or whatever that was,0.0,Neutral
Best app😍😍,5,2026-03-09 19:24:57,best app,1.0,Positive
net work issue 😕😔,3,2026-03-09 19:14:23,net work issue ,0.0,Neutral
Good,5,2026-03-09 19:12:10,good,0.7,Positive
Way too many ads now. It is frustrating to look anything up. Y'all ruined Pinterest!,3,2026-03-09 19:09:39,way too many ads now it is frustrating to look anything up yall ruined pinterest,0.04999999999999999,Positive
Very creative and inspirational,5,2026-03-09 18:56:03,very creative and inspirational,0.575,Positive
Very nice,5,2026-03-09 18:55:34,very nice,0.78,Positive
❤️❤️❤️,5,2026-03-09 18:53:56,,0.0,Neutral
Love it❤,5,2026-03-09 18:52:19,love it,0.5,Positive
Pintrest is a great app I've been using this app since 2023. It's been my favourite app since 2023. But right now I'm facing a connection problem. it isn't loading and I tried to delete and then I downloaded it again. after I downloaded again it loads easily after I closed it then opend it wasn't reloading even though I have a strong wifi. and then I tried againre downloaded. then I logged again. and I use this trick everytime. now it isn't working even though pls fix ownloaded it again pls fix.,2,2026-03-09 18:50:58,pintrest is a great app ive been using this app since its been my favourite app since but right now im facing a connection problem it isnt loading and i tried to delete and then i downloaded it again after i downloaded again it loads easily after i closed it then opend it wasnt reloading even though i have a strong wifi and then i tried againre downloaded then i logged again and i use this trick everytime now it isnt working even though pls fix ownloaded it again pls fix,0.3704761904761905,Positive
"No complaints, the app is a masterclass 😮‍💨👌🏽",5,2026-03-09 18:50:12,no complaints the app is a masterclass ,0.0,Neutral
This is my top favorite app 🥰,5,2026-03-09 18:47:00,this is my top favorite app ,0.5,Positive
i like this app,5,2026-03-09 18:44:57,i like this app,0.0,Neutral
enjoy finding creative ideas,5,2026-03-09 18:44:18,enjoy finding creative ideas,0.45,Positive
Love it!,5,2026-03-09 18:38:58,love it,0.5,Positive
happy,5,2026-03-09 18:37:30,happy,0.8,Positive
Pinterest is my go to for everything!!!!,5,2026-03-09 18:19:38,pinterest is my go to for everything,0.0,Neutral
ok,5,2026-03-09 18:17:43,ok,0.5,Positive
"my account got deactivated randomly, no email or option to review why. I wasn't informed that it was, and will no longer be using Pinterest.",1,2026-03-09 18:15:22,my account got deactivated randomly no email or option to review why i wasnt informed that it was and will no longer be using pinterest,0.25,Positive
I love printrest 🎀🎀,5,2026-03-09 18:07:45,i love printrest ,0.5,Positive
🥹💗😍😊,5,2026-03-09 18:00:22,,0.0,Neutral
the food that I have. cooked had been great,5,2026-03-09 17:58:16,the food that i have cooked had been great,0.8,Positive
great,5,2026-03-09 17:51:02,great,0.8,Positive
PLEASE add an option to filter out videos from search results! I'm trying to search for some static pictures but allll of the search results are videos and there is no way to avoid them!,3,2026-03-09 17:46:19,please add an option to filter out videos from search results im trying to search for some static pictures but allll of the search results are videos and there is no way to avoid them,0.5,Positive
"has more ads than pins now, ridiculous",2,2026-03-09 17:39:26,has more ads than pins now ridiculous,0.08333333333333334,Positive
really aesthetic 😍,5,2026-03-09 17:33:38,really aesthetic ,0.2,Positive
"I like this application. Helped me a lot with organizing of my recipes, thoughts, travels.",5,2026-03-09 17:33:15,i like this application helped me a lot with organizing of my recipes thoughts travels,0.0,Neutral
"Everything you could ever need at your fingertips. Wonderful site for affirmations, quotes and many other images to keep you, family and friends entertained for hours. Love it a lot. Use it daily. same comments",5,2026-03-09 17:31:30,everything you could ever need at your fingertips wonderful site for affirmations quotes and many other images to keep you family and friends entertained for hours love it a lot use it daily same comments,0.3125,Positive
it is the best,5,2026-03-09 17:30:44,it is the best,1.0,Positive
awesome for making your ocs mood boards,5,2026-03-09 17:06:21,awesome for making your ocs mood boards,1.0,Positive
It is very cool and aesthetic ✨️ and i watch it everytime i came from School 🏫 ☺️,5,2026-03-09 16:58:41,it is very cool and aesthetic and i watch it everytime i came from school ,0.45499999999999996,Positive
verynice,5,2026-03-09 16:55:46,verynice,0.0,Neutral
it's soo goooood ♡♡,5,2026-03-09 16:52:59,its soo goooood ,0.0,Neutral
"You get strikes for everything. The tattoo is on a thigh? It's considered adult content. You have a hair pin that looks like a sword? It's considered self harm. God forbid there's a cute bathing suit that you want to save. Even if you're not the one who made the pins, you can and will get your account deactivated. I desperately need someone to make a good pinterest alternative. I'm about to just pack it up and make a whole analog book for ideas or something.",1,2026-03-09 16:50:11,you get strikes for everything the tattoo is on a thigh its considered adult content you have a hair pin that looks like a sword its considered self harm god forbid theres a cute bathing suit that you want to save even if youre not the one who made the pins you can and will get your account deactivated i desperately need someone to make a good pinterest alternative im about to just pack it up and make a whole analog book for ideas or something,0.18,Positive
I don't understand how to use it!,2,2026-03-09 16:47:21,i dont understand how to use it,0.0,Neutral
"Thank you team Pinterest for resolving most errors, however now the audio plays at full volume even though system media sound is set to mute or low. Pls correct this.",5,2026-03-09 16:46:52,thank you team pinterest for resolving most errors however now the audio plays at full volume even though system media sound is set to mute or low pls correct this,0.3125,Positive
great,5,2026-03-09 16:43:33,great,0.8,Positive
it's fun and gives me great ideas!!!,5,2026-03-09 16:42:52,its fun and gives me great ideas,0.55,Positive
super app,5,2026-03-09 16:38:45,super app,0.3333333333333333,Positive
awesome,5,2026-03-09 16:36:24,awesome,1.0,Positive
super,1,2026-03-09 16:32:08,super,0.3333333333333333,Positive
you can find just about anything on here.,5,2026-03-09 16:23:42,you can find just about anything on here,0.0,Neutral
Very good,5,2026-03-09 16:19:48,very good,0.9099999999999999,Positive
superb i love pinterest😉,5,2026-03-09 16:18:23,superb i love pinterest,0.75,Positive
"Pinterest is perfect for discovering ideas and inspiration. I love using it for creative projects, recipes, and lifestyle inspiration.",5,2026-03-09 16:17:03,pinterest is perfect for discovering ideas and inspiration i love using it for creative projects recipes and lifestyle inspiration,0.6666666666666666,Positive
There are a lot of artists on the Pinterest. 👏 And I'm always excited to see new ideas at here.,5,2026-03-09 16:15:18,there are a lot of artists on the pinterest and im always excited to see new ideas at here,0.2556818181818182,Positive
I love 💕 it .soooooo filled with cutee stuffff n pictures,5,2026-03-09 16:12:57,i love it soooooo filled with cutee stuffff n pictures,0.45,Positive
Rip Pinterest. I have used this app for years. It has now become a disaster of an app and continues to grow worse with every update. I will forever miss the old pinterest. Something we will never get back. Taken over by ai and forever lost.,1,2026-03-09 16:06:01,rip pinterest i have used this app for years it has now become a disaster of an app and continues to grow worse with every update i will forever miss the old pinterest something we will never get back taken over by ai and forever lost,-0.10000000000000002,Negative
"I really do love this app but the amount of ai slop showing on my feed is crazy. on top of that, pintrest is removing my saved pin due to community guideline violation which is completely false and wrong. the image of normal silly doodle, art, etc does NOT go against any guidline. This is really irritating to be honest. giving an ai to manage the app is not the brightest of move",3,2026-03-09 16:03:09,i really do love this app but the amount of ai slop showing on my feed is crazy on top of that pintrest is removing my saved pin due to community guideline violation which is completely false and wrong the image of normal silly doodle art etc does not go against any guidline this is really irritating to be honest giving an ai to manage the app is not the brightest of move,-0.0775,Negative
bohot achi app hai 💗🎀🙈😁,5,2026-03-09 16:02:12,bohot achi app hai ,0.0,Neutral
⭐⭐⭐⭐⭐,5,2026-03-09 15:57:31,,0.0,Neutral
This app is usefull because this app is bla bla,5,2026-03-09 15:56:25,this app is usefull because this app is bla bla,0.0,Neutral
very good 😊 very informative good 👍 very asthetic 💜💜💞 good 👍,5,2026-03-09 15:38:40,very good very informative good very asthetic good ,0.542,Positive
Addicted. Totally addicted. (Update 6 years later... I still love this app.),5,2026-03-09 15:35:20,addicted totally addicted update years later i still love this app,-0.07500000000000001,Negative
Kari 🖤,5,2026-03-09 15:20:52,kari ,0.0,Neutral
This is too good and helpful 👏 I learned so many things from here 😌 You should try one time,4,2026-03-09 15:19:46,this is too good and helpful i learned so many things from here you should try one time,0.6,Positive
very good,4,2026-03-09 15:18:42,very good,0.9099999999999999,Positive
I love it it gives me good ideas for like work and school stuff and housing,5,2026-03-09 15:17:22,i love it it gives me good ideas for like work and school stuff and housing,0.6,Positive
Amazing app. good for teenagers ♥️,5,2026-03-09 15:16:45,amazing app good for teenagers ,0.65,Positive
Ok - ok,4,2026-03-09 15:15:09,ok ok,0.5,Positive
"I've seen chìlđ fétîśh ads (ads they have to approve btw) which I had to report MULITPLE times along with others for it to even get taken down. Pintrest also deactivated my account for no reason then they gave me a link to refute my ban. The link says it expires in 7 days, I got it at 4am today and it's already expired. EDIT: I deleted Pintrest, they permanently deactivated my account with very minimal explanation.",1,2026-03-09 15:03:09,ive seen chl fth ads ads they have to approve btw which i had to report mulitple times along with others for it to even get taken down pintrest also deactivated my account for no reason then they gave me a link to refute my ban the link says it expires in days i got it at am today and its already expired edit i deleted pintrest they permanently deactivated my account with very minimal explanation,-0.14277777777777778,Negative
"I've been using this app for 15 plus years. Which is why I gave it 2 stars instead of 1. The content is practically unavailable. The adverts are out of control. For example, when I look up ""nail inspo"" 8 out of 10 pins are ads from Etsy, Amazon, Temu, etc. selling nails. If I wanted to buy pre-made press-ons, I would personally go to those apps to buy those products. I don't need it shoved in my face. If things don't change soon this app will be deleted.",2,2026-03-09 14:59:36,ive been using this app for plus years which is why i gave it stars instead of the content is practically unavailable the adverts are out of control for example when i look up nail inspo out of pins are ads from etsy amazon temu etc selling nails if i wanted to buy premade pressons i would personally go to those apps to buy those products i dont need it shoved in my face if things dont change soon this app will be deleted,0.0,Neutral
Love this!,5,2026-03-09 14:54:02,love this,0.5,Positive
I love this app,5,2026-03-09 14:51:27,i love this app,0.5,Positive
I love this so muchhhhhhhhh,5,2026-03-09 14:36:05,i love this so muchhhhhhhhh,0.5,Positive
My happy place:),5,2026-03-09 14:35:46,my happy place,0.8,Positive
this app used to be good now it only suggests the same 10 recipes.,1,2026-03-09 14:23:35,this app used to be good now it only suggests the same recipes,0.2333333333333333,Positive
l really like this app I learned how to cook and lots of hair products and so much more,5,2026-03-09 14:21:25,l really like this app i learned how to cook and lots of hair products and so much more,0.35,Positive
"doesn't let me scroll in peace, wierd ui",1,2026-03-09 14:15:39,doesnt let me scroll in peace wierd ui,0.0,Neutral
love all the various crafts,5,2026-03-09 14:10:53,love all the various crafts,0.25,Positive
this app is very good I like it app,5,2026-03-09 14:06:35,this app is very good i like it app,0.9099999999999999,Positive
nice🙂,5,2026-03-09 13:54:21,nice,0.6,Positive
🔥💯,5,2026-03-09 13:47:10,,0.0,Neutral
bedt,5,2026-03-09 13:46:55,bedt,0.0,Neutral
I loved this aesthetic app,5,2026-03-09 13:33:08,i loved this aesthetic app,0.7,Positive
I love making collages in this app also it's great if you want to plan your next outfit,5,2026-03-09 13:24:23,i love making collages in this app also its great if you want to plan your next outfit,0.43333333333333335,Positive
best app love it so helpful 😍,5,2026-03-09 13:24:08,best app love it so helpful ,0.75,Positive
good,5,2026-03-09 13:18:40,good,0.7,Positive
very aesthetic app and love it's aesthetic ideas,5,2026-03-09 13:02:20,very aesthetic app and love its aesthetic ideas,0.35,Positive
"I LOVE Pinterest!! it works incredibly well and it's easy to make boards for my characters. I like the collage option as well even tho it's a little tough to use when you first start learning how to use it. overall- it's my go to app for drawing, aesthetic, mood and writing inspo. 10/10 would recommend to anyone looking to get their ideas in order.",5,2026-03-09 13:01:06,i love pinterest it works incredibly well and its easy to make boards for my characters i like the collage option as well even tho its a little tough to use when you first start learning how to use it overall its my go to app for drawing aesthetic mood and writing inspo would recommend to anyone looking to get their ideas in order,0.21527777777777776,Positive
very interesting aap,4,2026-03-09 12:58:38,very interesting aap,0.65,Positive
"I used to love Pinterest - an uplifting, teaching & sharing space. Even after fb, IG & tt took over sm I returned here to find a peaceful escape into a space that isn't divisive. Now it's covered with so many ads, I'd say it's nearly 1:1 ratio of posts vs ads it's that bad & when you click on a pic thinking it's a typical Pinterest item, something you're interested in, you find out it's actually an ad & you have to completely close out of both apps or you're stuck! Greedy corporate nonsense! 👎",1,2026-03-09 12:58:27,i used to love pinterest an uplifting teaching sharing space even after fb ig tt took over sm i returned here to find a peaceful escape into a space that isnt divisive now its covered with so many ads id say its nearly ratio of posts vs ads its that bad when you click on a pic thinking its a typical pinterest item something youre interested in you find out its actually an ad you have to completely close out of both apps or youre stuck greedy corporate nonsense ,0.08333333333333336,Positive
"My digital mood board for everything from home decor to outfit ideas. It’s a peaceful, highly aesthetic corner of the internet",5,2026-03-09 12:56:05,my digital mood board for everything from home decor to outfit ideas its a peaceful highly aesthetic corner of the internet,0.1366666666666667,Positive
brilliant 👏,5,2026-03-09 12:54:19,brilliant ,0.9,Positive
to much creative,5,2026-03-09 12:54:04,to much creative,0.5,Positive
bro nice,5,2026-03-09 12:50:59,bro nice,0.6,Positive
AWAYSOME PICTURES,5,2026-03-09 12:48:00,awaysome pictures,0.0,Neutral
"This application is very good for editing photos and looking for inspiration such as cooking recipes, several tutorials, there are even videos, basically it is very good, very useful and usable 😻🫰⭐",5,2026-03-09 12:37:42,this application is very good for editing photos and looking for inspiration such as cooking recipes several tutorials there are even videos basically it is very good very useful and usable ,0.442,Positive
annoying,1,2026-03-09 12:26:37,annoying,-0.8,Negative
very good fantastic,5,2026-03-09 12:22:00,very good fantastic,0.655,Positive
it’s a good app,5,2026-03-09 12:18:22,its a good app,0.7,Positive
this will help me in yt thumbnail making,3,2026-03-09 12:14:18,this will help me in yt thumbnail making,0.0,Neutral
💯💯💯💯FIRE the best ever,5,2026-03-09 12:02:50,fire the best ever,1.0,Positive
Not bad,5,2026-03-09 11:56:03,not bad,0.3499999999999999,Positive
it's pretty good i search all the time and i seacher how to draw,5,2026-03-09 11:37:42,its pretty good i search all the time and i seacher how to draw,0.475,Positive
because I can search up mostly anything,5,2026-03-09 11:24:54,because i can search up mostly anything,0.5,Positive
awesome this App. you take your favorite picture.,5,2026-03-09 11:14:49,awesome this app you take your favorite picture,0.75,Positive
it was good,5,2026-03-09 11:14:01,it was good,0.7,Positive
this app is very hlep full.,5,2026-03-09 11:05:41,this app is very hlep full,0.275,Positive
The ultimate digital mood board. It’s my primary source for home decor ideas and creative DIY projects.,5,2026-03-09 11:03:21,the ultimate digital mood board its my primary source for home decor ideas and creative diy projects,0.225,Positive
Goof app 10/19,5,2026-03-09 10:55:21,goof app ,0.0,Neutral
very helpful for me,5,2026-03-09 10:54:29,very helpful for me,0.2,Positive
