review,rating,date
"I love pinterest because it's a great place to discover creative ideas and inspiration. ♥️ whether fashion, recipes...just name it and Pinterest got you...",5,2026-03-07 07:54:22
"Just like every other single app that used to be actually engaging, inspiring and fun, it's now just an AI slop filled and moderated garbage dump",1,2026-03-07 07:51:18
Good,5,2026-03-07 07:46:25
I can't danload on my xplayer anymore,5,2026-03-07 07:39:26
it's very useful,5,2026-03-07 07:28:41
"I am 19 years old and it does not let me make an account, it keeps saying that I am not eligible for this app.",1,2026-03-07 07:21:11
"This app is tooo much good for an artist , you can found any kind of image from this app and even you can download image from this app so if you doesn't have internet you don't have to worry you can simply download image",5,2026-03-07 07:17:38
very useful and lot of thoughts to improve ourself,5,2026-03-07 07:00:53
their were so many photos I wanted,5,2026-03-07 06:59:55
downloading problem 😥,2,2026-03-07 06:50:32
best the feeling like a dream,5,2026-03-07 06:46:34
"I really like this app, I have been using it for like a while now. no feedbacks from me. I like this app.",5,2026-03-07 06:43:26
i really love this app so much ideas and creativity and lots of things in this app which inspires me to create anything and see ideas like outfits drawing and poems and many more things which inspires me very fabulous app 😍😍,5,2026-03-07 06:43:17
we can find latest trends,5,2026-03-07 06:36:27
Disappointed in the AI management,1,2026-03-07 06:33:15
this is the best app whatever I have seen. 😭😌🦋✨,5,2026-03-07 06:31:18
soo cute,5,2026-03-07 06:26:36
"Pinterest is a very useful app for discovering ideas and inspiration. I can find and save creative content like recipes, fashion, home décor, and DIY projects. The interface is simple and easy to browse. Overall, it is a great app for exploring new ideas and staying inspired. 👍",5,2026-03-07 06:02:47
nice app,5,2026-03-07 05:54:50
amazing app,4,2026-03-07 05:48:44
good,5,2026-03-07 05:34:31
❤️❤️❤️,5,2026-03-07 05:27:51
nice,5,2026-03-07 05:18:38
Best app to uplode your drawings and watch and draw other drawing,5,2026-03-07 05:12:59
it is a very nice app you can find anything you want and make your ones too,4,2026-03-07 05:11:21
very useful it's funtastic,5,2026-03-07 04:53:03
nice background in this app,5,2026-03-07 04:42:17
BEST APP EVER. BEST WEBSITE BEFORE THAT.,5,2026-03-07 04:37:07
best app ever I had used it it's so excellent 👌🏻👌🏻👌🏻,5,2026-03-07 04:30:05
It's very very very good,5,2026-03-07 04:28:07
i use this somtimes for the nail art,3,2026-03-07 04:25:25
❤️‍🔥,5,2026-03-07 04:23:21
I didn't like it,1,2026-03-07 04:06:57
Too many ads,1,2026-03-07 03:59:24
It is Amazing.,5,2026-03-07 03:57:32
👍,5,2026-03-07 03:51:16
very fun and entertaining,5,2026-03-07 03:50:43
"I love my Pinterest App. I refer back to it always for things I have saved, things that have personal meanings to me, cooking, recipes, shopping. If I lost it all, I would be devastated!",5,2026-03-07 03:46:54
5 star 👍,5,2026-03-07 03:27:20
"I used to love pinterest, and I still use it nearly daily. It's just annoying to use most days. My main issues: The AI 🌽 problem is still pretty bad. Ads load faster than pins and sometimes take up my whole screen. Barely click on an ad? Now you're going to its website. You can't remove ads either, btw. Like 15 emails a day for ""my pins"" that go against community guidelines. But I'm not the one who posted the pin, and I can't even see what was removed. I can't even unsub from the emails.",1,2026-03-07 03:25:33
very useful & helpful... intresting app💯🙌🏻,5,2026-03-07 03:22:54
A masterpiece of art and visuals,5,2026-03-07 03:14:32
love how easy it is to make collages on the app,5,2026-03-07 02:49:58
it's a real awesome app if you like to save Important things to do and wish list and things of that nature,5,2026-03-07 02:38:20
Enjoying,5,2026-03-07 02:37:40
"i personally use pinterest for personal purposes only, so it helps me in making great Collages, vision boards and getting different topics aesthetic pictures.",5,2026-03-07 02:28:59
very helpful. I love this app.,5,2026-03-07 02:16:51
It is the best app to do designs,5,2026-03-07 01:56:11
very good,5,2026-03-07 01:37:35
good one for using,5,2026-03-07 01:22:20
one of my favorites,5,2026-03-07 01:19:29
"my original 2017 rating was 5 stars. now, its 2. It's fine if you have a curated cook book like me that you come back to reference and you can still seek out specific things but ..... 3/4 of your feed is gonna be ads with wildly distorted AI images. it's essentially one big ad blog.",2,2026-03-07 01:10:00
Optinla,5,2026-03-07 00:49:50
Great app for finding ideas and inspiration.,5,2026-03-07 00:07:40
"The best app, I recommend it. ♥",5,2026-03-07 00:01:00
"I like writing hints. October. I like upgrades that work, are easier! Dec '19",4,2026-03-06 23:51:58
"Full of AI. AI that you're automatically opted-in to. Even when you try to turn off all the AI, you still get images marked ""AI modified."" Not even to mention the ads. Half the screen is constantly playing annoying videos, let me find beautiful (HUMAN MADE) artworks and memes in peace! The occasional ad is fine, you gotta make your money I get it, but jeez this app has gone downhill.",1,2026-03-06 23:38:02
ok,5,2026-03-06 22:52:30
it a reliable app,5,2026-03-06 22:48:11
I'm having a great experience with this app it's really helpful and I'm learning about the things that interest me and I'm finding out about things that i need to do and want to achieve moving forward thanks,5,2026-03-06 22:27:49
"App converted to ad-rape. This is the beginning of your fall. You have had all the ingredients to make ads work, but you effed it up... The feed is flooded with disguised ads and browsing has turned from enjoyment to reluctance, because I have 13 opened tabs in my browser because of your dirty tactic.",2,2026-03-06 22:24:06
अच्छी क्वालिटी,5,2026-03-06 22:03:46
"amazing! so useful for anything, cooking, Fandom, art, lifestyle! anyone could use this app!",5,2026-03-06 22:03:10
"App has been ruined, don't download it",1,2026-03-06 22:00:54
your ads is getting annoying. it keeps giving me creepy face. it gives me halloween ads IN MARCH???? ugh..,1,2026-03-06 21:48:35
amazing,5,2026-03-06 21:44:49
love app,4,2026-03-06 21:28:14
"it used to be a great tool, now it's mostly ads. It's only somewhat usable if you know what you are searching for, then you have to scroll past numerous ads that take up half of the screen space. I've turned off third party sharing and now, despite saying that the feed is based on likes and pins, it would show me random ugly stuff despite me clicking to show me less like that. even if I do happen to find pretty pictures, majority of them are Ai even after turning off Ai in search.",2,2026-03-06 21:21:06
Great App,5,2026-03-06 21:14:50
Filled with so much ads its absolutely horrible,1,2026-03-06 21:04:57
very good !,5,2026-03-06 20:48:43
excellent app. works fast & shows HD photos. has proper categories & has almost every kind of results I want. Greatttt app!!,5,2026-03-06 20:47:45
sometimes you can't get what your looking for,4,2026-03-06 20:46:47
"an absurd amount of ads now, very disappointing to see every other ""pin"" be either sponsored or straight up link to another online store",3,2026-03-06 20:42:41
"it provides all pins one wishes to see, it is a great app.",5,2026-03-06 20:36:54
fantastic ideas for crafting mainly carding and quilting also some very nice recipes,5,2026-03-06 20:35:49
"UPDATED AGAINST MY PERMISSION SETTINGS AND RUINED THE UI COMPLETELY, WHERE THE HELL ARE THE COMMENTS ON POSTS???",1,2026-03-06 20:30:18
"I have been trying to logging the app in my new phone it's not working, always showing service timeout try in 30 minutes time I have uninstalled and installed the app it keeps saying the same thing tried using a new email too it's not working pls help",1,2026-03-06 20:29:39
"Ive been using this app for a couple years now and it has gone downhill. At this point, I can't even use the boards properly. it takes three to four tries to pin anything, and I can't move a single pin in a board without it glitching and jumbling everything up. theres AI all throughout the app, and honestly it's ruining the entire thing. please for the love of God fix this.",1,2026-03-06 20:26:08
"SO MANY ADS! For every 4 ads you get 1 pin that isn't an ad, but it probably isn't related to your search query either. I used to love Pinterest, but the ads are out of control and it's ridiculous we can't limit them more.",2,2026-03-06 20:23:14
"I literally see more ads than I do actual posts these days. half the time the ads themselves are blatantly breaking pinterests terms and conditions (ie by being sexual in nature), meanwhile actual pins i have that have no more than barbie doll style nudity for drawing tutorials are removed with prejudice. ive gotten to the point where if I accidentally click on an ad by scrolling from its side of the screen ill just report it. so glad to see pinterest cares more about corporations than users.",1,2026-03-06 20:14:46
"this app is so buggy and glitchy and the content moderation is handled only by ai causing pins to get wrongfully deleted, videos won't even play, comments disappear, among many other things please fix it",2,2026-03-06 19:55:45
"Pinterest is my goto app for crafts, exercise videos, and many other interests. It is easy to use, easy to save items, and very integrated. I always find many things I am interested in.",5,2026-03-06 19:52:23
I love the versatility of Pinerest. It is up to date. it has all the recipes I need. it has a lot of health issues questions and other subjects.,4,2026-03-06 19:48:46
amazing recipes and ideas...I am.addicted to Pinterest,5,2026-03-06 19:47:45
I LOVE PINTREST,5,2026-03-06 19:44:07
pure peak✨️,5,2026-03-06 19:37:09
Great💋💖,5,2026-03-06 19:33:58
very useful and helpful ☺️ app,4,2026-03-06 19:28:05
"It's really bad, it glitches and lags and does anything but work like an actual proper app, gc's can only hold 10 people we gotta increase the limit, Pinterest lags more than my ex-friends boyfriends cheating on them. Do better Pinterest.",1,2026-03-06 19:27:56
"I really like this app and the kind of content here. But the glitches are really frustrating. Comment section often doesn’t post comments (button just doesn’t respond), cursor jumps while editing text, sometimes video audio plays but video freezes even after refresh, This happens almost every day,pretty sure it's happening with most of the users,pls fix these issues.",4,2026-03-06 19:25:25
goo hai bhai goo hai,1,2026-03-06 19:16:42
this app is the best app for looking up anything art wise love it,5,2026-03-06 19:14:12
it is just Great,5,2026-03-06 19:13:03
"the best app ever , in love with it",5,2026-03-06 18:55:57
love being able to see and keep recipes.,5,2026-03-06 18:52:35
nice 👍,5,2026-03-06 18:36:39
this app is wow pintrest is cool app in the world it life style for the best friend me hi to me hi to me hi to mein ne mita so much my dear app,5,2026-03-06 18:32:51
very helpful,5,2026-03-06 18:31:19
"I used to love Pinterest, but lately there are an insane amount of paid ads and it is really disappointing. I'm looking for ideas of how and what other people make, not what I could buy. E.g. I searched for wedding bouquet ideas, and the results are inundated by fake flower arrangements to buy from Temu, eBay, Etsy, and so on. Seriously? Pinterest is losing its integrity. It used to be the most amazing community to share ideas; now it is trying to divert you to shop cheap and ready.",2,2026-03-06 18:26:37
awesome 👌,5,2026-03-06 18:20:19
awesome 👌,4,2026-03-06 18:18:37
Ohh God this app is literally aesthetic and retablest I am in love with Pinterest you can also earm money on this app lots of love from me,5,2026-03-06 18:16:13
I don't like the app keeps coming up all the time.,1,2026-03-06 18:09:28
good app is m ap ko Jo be chair wo sab de ga ye app ap ko Sirf search karoo amazing 😍 app plz Dowlond the Pinterest app,5,2026-03-06 18:07:41
very interesting,3,2026-03-06 18:01:09
I love Pinterest for a convenient way to find new and improved ideas for anything.,5,2026-03-06 18:00:49
good for me,5,2026-03-06 17:57:28
nothing but AI slop even if you turn it off in settings. completely worthless now,1,2026-03-06 17:56:43
I can't describe but the only word to say is this is amazing 😍🤩🤩🤩🌷🌷🌸,5,2026-03-06 17:51:59
my Experience was great because i got to sketch and draw and it got me lots of cool and mythical things that i could imagine it in my head,5,2026-03-06 17:42:37
