review,rating,date,clean_review,polarity,sentiment
"I love pinterest because it's a great place to discover creative ideas and inspiration. ♥️ whether fashion, recipes...just name it and Pinterest got you...",5,2026-03-07 07:54:22,i love pinterest because its a great place to discover creative ideas and inspiration whether fashion recipesjust name it and pinterest got you,0.6,Positive
"Just like every other single app that used to be actually engaging, inspiring and fun, it's now just an AI slop filled and moderated garbage dump",1,2026-03-07 07:51:18,just like every other single app that used to be actually engaging inspiring and fun its now just an ai slop filled and moderated garbage dump,0.2339285714285714,Positive
Good,5,2026-03-07 07:46:25,good,0.7,Positive
I can't danload on my xplayer anymore,5,2026-03-07 07:39:26,i cant danload on my xplayer anymore,0.0,Neutral
it's very useful,5,2026-03-07 07:28:41,its very useful,0.39,Positive
"I am 19 years old and it does not let me make an account, it keeps saying that I am not eligible for this app.",1,2026-03-07 07:21:11,i am years old and it does not let me make an account it keeps saying that i am not eligible for this app,0.1,Positive
"This app is tooo much good for an artist , you can found any kind of image from this app and even you can download image from this app so if you doesn't have internet you don't have to worry you can simply download image",5,2026-03-07 07:17:38,this app is tooo much good for an artist you can found any kind of image from this app and even you can download image from this app so if you doesnt have internet you dont have to worry you can simply download image,0.4333333333333333,Positive
very useful and lot of thoughts to improve ourself,5,2026-03-07 07:00:53,very useful and lot of thoughts to improve ourself,0.39,Positive
their were so many photos I wanted,5,2026-03-07 06:59:55,their were so many photos i wanted,0.5,Positive
downloading problem 😥,2,2026-03-07 06:50:32,downloading problem ,0.0,Neutral
best the feeling like a dream,5,2026-03-07 06:46:34,best the feeling like a dream,1.0,Positive
"I really like this app, I have been using it for like a while now. no feedbacks from me. I like this app.",5,2026-03-07 06:43:26,i really like this app i have been using it for like a while now no feedbacks from me i like this app,0.2,Positive
i really love this app so much ideas and creativity and lots of things in this app which inspires me to create anything and see ideas like outfits drawing and poems and many more things which inspires me very fabulous app 😍😍,5,2026-03-07 06:43:17,i really love this app so much ideas and creativity and lots of things in this app which inspires me to create anything and see ideas like outfits drawing and poems and many more things which inspires me very fabulous app ,0.44399999999999995,Positive
we can find latest trends,5,2026-03-07 06:36:27,we can find latest trends,0.5,Positive
Disappointed in the AI management,1,2026-03-07 06:33:15,disappointed in the ai management,-0.75,Negative
this is the best app whatever I have seen. 😭😌🦋✨,5,2026-03-07 06:31:18,this is the best app whatever i have seen ,1.0,Positive
soo cute,5,2026-03-07 06:26:36,soo cute,0.5,Positive
"Pinterest is a very useful app for discovering ideas and inspiration. I can find and save creative content like recipes, fashion, home décor, and DIY projects. The interface is simple and easy to browse. Overall, it is a great app for exploring new ideas and staying inspired. 👍",5,2026-03-07 06:02:47,pinterest is a very useful app for discovering ideas and inspiration i can find and save creative content like recipes fashion home dcor and diy projects the interface is simple and easy to browse overall it is a great app for exploring new ideas and staying inspired ,0.3228138528138528,Positive
nice app,5,2026-03-07 05:54:50,nice app,0.6,Positive
amazing app,4,2026-03-07 05:48:44,amazing app,0.6000000000000001,Positive
good,5,2026-03-07 05:34:31,good,0.7,Positive
❤️❤️❤️,5,2026-03-07 05:27:51,,0.0,Neutral
nice,5,2026-03-07 05:18:38,nice,0.6,Positive
Best app to uplode your drawings and watch and draw other drawing,5,2026-03-07 05:12:59,best app to uplode your drawings and watch and draw other drawing,0.4375,Positive
it is a very nice app you can find anything you want and make your ones too,4,2026-03-07 05:11:21,it is a very nice app you can find anything you want and make your ones too,0.78,Positive
very useful it's funtastic,5,2026-03-07 04:53:03,very useful its funtastic,0.39,Positive
nice background in this app,5,2026-03-07 04:42:17,nice background in this app,0.6,Positive
BEST APP EVER. BEST WEBSITE BEFORE THAT.,5,2026-03-07 04:37:07,best app ever best website before that,1.0,Positive
best app ever I had used it it's so excellent 👌🏻👌🏻👌🏻,5,2026-03-07 04:30:05,best app ever i had used it its so excellent ,1.0,Positive
It's very very very good,5,2026-03-07 04:28:07,its very very very good,0.9099999999999999,Positive
i use this somtimes for the nail art,3,2026-03-07 04:25:25,i use this somtimes for the nail art,0.0,Neutral
❤️‍🔥,5,2026-03-07 04:23:21,,0.0,Neutral
I didn't like it,1,2026-03-07 04:06:57,i didnt like it,0.0,Neutral
Too many ads,1,2026-03-07 03:59:24,too many ads,0.5,Positive
It is Amazing.,5,2026-03-07 03:57:32,it is amazing,0.6000000000000001,Positive
👍,5,2026-03-07 03:51:16,,0.0,Neutral
very fun and entertaining,5,2026-03-07 03:50:43,very fun and entertaining,0.445,Positive
"I love my Pinterest App. I refer back to it always for things I have saved, things that have personal meanings to me, cooking, recipes, shopping. If I lost it all, I would be devastated!",5,2026-03-07 03:46:54,i love my pinterest app i refer back to it always for things i have saved things that have personal meanings to me cooking recipes shopping if i lost it all i would be devastated,0.16666666666666666,Positive
5 star 👍,5,2026-03-07 03:27:20, star ,0.0,Neutral
"I used to love pinterest, and I still use it nearly daily. It's just annoying to use most days. My main issues: The AI 🌽 problem is still pretty bad. Ads load faster than pins and sometimes take up my whole screen. Barely click on an ad? Now you're going to its website. You can't remove ads either, btw. Like 15 emails a day for ""my pins"" that go against community guidelines. But I'm not the one who posted the pin, and I can't even see what was removed. I can't even unsub from the emails.",1,2026-03-07 03:25:33,i used to love pinterest and i still use it nearly daily its just annoying to use most days my main issues the ai problem is still pretty bad ads load faster than pins and sometimes take up my whole screen barely click on an ad now youre going to its website you cant remove ads either btw like emails a day for my pins that go against community guidelines but im not the one who posted the pin and i cant even see what was removed i cant even unsub from the emails,0.018518518518518528,Positive
very useful & helpful... intresting app💯🙌🏻,5,2026-03-07 03:22:54,very useful helpful intresting app,0.39,Positive
A masterpiece of art and visuals,5,2026-03-07 03:14:32,a masterpiece of art and visuals,0.0,Neutral
love how easy it is to make collages on the app,5,2026-03-07 02:49:58,love how easy it is to make collages on the app,0.4666666666666667,Positive
it's a real awesome app if you like to save Important things to do and wish list and things of that nature,5,2026-03-07 02:38:20,its a real awesome app if you like to save important things to do and wish list and things of that nature,0.7,Positive
Enjoying,5,2026-03-07 02:37:40,enjoying,0.5,Positive
"i personally use pinterest for personal purposes only, so it helps me in making great Collages, vision boards and getting different topics aesthetic pictures.",5,2026-03-07 02:28:59,i personally use pinterest for personal purposes only so it helps me in making great collages vision boards and getting different topics aesthetic pictures,0.16,Positive
very helpful. I love this app.,5,2026-03-07 02:16:51,very helpful i love this app,0.35,Positive
It is the best app to do designs,5,2026-03-07 01:56:11,it is the best app to do designs,1.0,Positive
very good,5,2026-03-07 01:37:35,very good,0.9099999999999999,Positive
good one for using,5,2026-03-07 01:22:20,good one for using,0.7,Positive
one of my favorites,5,2026-03-07 01:19:29,one of my favorites,0.0,Neutral
"my original 2017 rating was 5 stars. now, its 2. It's fine if you have a curated cook book like me that you come back to reference and you can still seek out specific things but ..... 3/4 of your feed is gonna be ads with wildly distorted AI images. it's essentially one big ad blog.",2,2026-03-07 01:10:00,my original rating was stars now its its fine if you have a curated cook book like me that you come back to reference and you can still seek out specific things but of your feed is gonna be ads with wildly distorted ai images its essentially one big ad blog,0.1273809523809524,Positive
Optinla,5,2026-03-07 00:49:50,optinla,0.0,Neutral
Great app for finding ideas and inspiration.,5,2026-03-07 00:07:40,great app for finding ideas and inspiration,0.8,Positive
"The best app, I recommend it. ♥",5,2026-03-07 00:01:00,the best app i recommend it ,1.0,Positive
"I like writing hints. October. I like upgrades that work, are easier! Dec '19",4,2026-03-06 23:51:58,i like writing hints october i like upgrades that work are easier dec ,0.0,Neutral
"Full of AI. AI that you're automatically opted-in to. Even when you try to turn off all the AI, you still get images marked ""AI modified."" Not even to mention the ads. Half the screen is constantly playing annoying videos, let me find beautiful (HUMAN MADE) artworks and memes in peace! The occasional ad is fine, you gotta make your money I get it, but jeez this app has gone downhill.",1,2026-03-06 23:38:02,full of ai ai that youre automatically optedin to even when you try to turn off all the ai you still get images marked ai modified not even to mention the ads half the screen is constantly playing annoying videos let me find beautiful human made artworks and memes in peace the occasional ad is fine you gotta make your money i get it but jeez this app has gone downhill,0.08333333333333333,Positive
ok,5,2026-03-06 22:52:30,ok,0.5,Positive
it a reliable app,5,2026-03-06 22:48:11,it a reliable app,0.0,Neutral
I'm having a great experience with this app it's really helpful and I'm learning about the things that interest me and I'm finding out about things that i need to do and want to achieve moving forward thanks,5,2026-03-06 22:27:49,im having a great experience with this app its really helpful and im learning about the things that interest me and im finding out about things that i need to do and want to achieve moving forward thanks,0.39999999999999997,Positive
"App converted to ad-rape. This is the beginning of your fall. You have had all the ingredients to make ads work, but you effed it up... The feed is flooded with disguised ads and browsing has turned from enjoyment to reluctance, because I have 13 opened tabs in my browser because of your dirty tactic.",2,2026-03-06 22:24:06,app converted to adrape this is the beginning of your fall you have had all the ingredients to make ads work but you effed it up the feed is flooded with disguised ads and browsing has turned from enjoyment to reluctance because i have opened tabs in my browser because of your dirty tactic,-0.6,Negative
अच्छी क्वालिटी,5,2026-03-06 22:03:46, ,0.0,Neutral
"amazing! so useful for anything, cooking, Fandom, art, lifestyle! anyone could use this app!",5,2026-03-06 22:03:10,amazing so useful for anything cooking fandom art lifestyle anyone could use this app,0.45000000000000007,Positive
"App has been ruined, don't download it",1,2026-03-06 22:00:54,app has been ruined dont download it,0.0,Neutral
your ads is getting annoying. it keeps giving me creepy face. it gives me halloween ads IN MARCH???? ugh..,1,2026-03-06 21:48:35,your ads is getting annoying it keeps giving me creepy face it gives me halloween ads in march ugh,-0.65,Negative
amazing,5,2026-03-06 21:44:49,amazing,0.6000000000000001,Positive
love app,4,2026-03-06 21:28:14,love app,0.5,Positive
"it used to be a great tool, now it's mostly ads. It's only somewhat usable if you know what you are searching for, then you have to scroll past numerous ads that take up half of the screen space. I've turned off third party sharing and now, despite saying that the feed is based on likes and pins, it would show me random ugly stuff despite me clicking to show me less like that. even if I do happen to find pretty pictures, majority of them are Ai even after turning off Ai in search.",2,2026-03-06 21:21:06,it used to be a great tool now its mostly ads its only somewhat usable if you know what you are searching for then you have to scroll past numerous ads that take up half of the screen space ive turned off third party sharing and now despite saying that the feed is based on likes and pins it would show me random ugly stuff despite me clicking to show me less like that even if i do happen to find pretty pictures majority of them are ai even after turning off ai in search,-0.021212121212121196,Negative
Great App,5,2026-03-06 21:14:50,great app,0.8,Positive
Filled with so much ads its absolutely horrible,1,2026-03-06 21:04:57,filled with so much ads its absolutely horrible,-0.1333333333333333,Negative
very good !,5,2026-03-06 20:48:43,very good ,0.9099999999999999,Positive
excellent app. works fast & shows HD photos. has proper categories & has almost every kind of results I want. Greatttt app!!,5,2026-03-06 20:47:45,excellent app works fast shows hd photos has proper categories has almost every kind of results i want greatttt app,0.44999999999999996,Positive
sometimes you can't get what your looking for,4,2026-03-06 20:46:47,sometimes you cant get what your looking for,0.0,Neutral
"an absurd amount of ads now, very disappointing to see every other ""pin"" be either sponsored or straight up link to another online store",3,2026-03-06 20:42:41,an absurd amount of ads now very disappointing to see every other pin be either sponsored or straight up link to another online store,-0.30125,Negative
"it provides all pins one wishes to see, it is a great app.",5,2026-03-06 20:36:54,it provides all pins one wishes to see it is a great app,0.8,Positive
fantastic ideas for crafting mainly carding and quilting also some very nice recipes,5,2026-03-06 20:35:49,fantastic ideas for crafting mainly carding and quilting also some very nice recipes,0.4488888888888889,Positive
"UPDATED AGAINST MY PERMISSION SETTINGS AND RUINED THE UI COMPLETELY, WHERE THE HELL ARE THE COMMENTS ON POSTS???",1,2026-03-06 20:30:18,updated against my permission settings and ruined the ui completely where the hell are the comments on posts,0.1,Positive
"I have been trying to logging the app in my new phone it's not working, always showing service timeout try in 30 minutes time I have uninstalled and installed the app it keeps saying the same thing tried using a new email too it's not working pls help",1,2026-03-06 20:29:39,i have been trying to logging the app in my new phone its not working always showing service timeout try in minutes time i have uninstalled and installed the app it keeps saying the same thing tried using a new email too its not working pls help,0.0909090909090909,Positive
